AGE,GENDER,CITY,FOOD_TYPE,JOB,STATE,AGE GROUP
56,M,Shimla,Street Food,Government Job,Himachal Pradesh,Working
67,F,Bodh Gaya,Mughlai,Bank,Bihar,Senior Citizen
81,F,Nainital,Italian,Bank,Uttarakhand,Senior Citizen
67,M,Bathinda,Chinese,Teacher,Punjab,Senior Citizen
82,F,Gulmarg,Chinese,Business,Jammu,Senior Citizen
63,F,Baramulla,Italian,Bank,Jammu,Senior Citizen
37,M,Abohar,Lebanese,Software Engineer,Punjab,Working
83,M,Lucknow,Punjabi,Business,Uttar Pradesh,Senior Citizen
25,F,Ajmer,Lebanese,Teacher,Rajasthan,Working
53,F,Abohar,Continental,Business,Punjab,Working
54,M,Una,Mughlai,Government Job,Himachal Pradesh,Working
45,F,Dras,Punjabi,Driver,Jammu,Working
2,F,Gulmarg,North Indian,Bank,Jammu,Young
31,F,Ghaziabad,Italian,Data Scientist,Uttar Pradesh,Working
7,M,Leh,Thai,Government Job,Jammu,Young
41,M,Bodh Gaya,Punjabi,Self Employed,Bihar,Working
16,F,Patiala,North Indian,CA,Punjab,Young
84,M,Khannauj,Mughlai,Software Engineer,Uttar Pradesh,Senior Citizen
94,F,Ghaziabad,Mughlai,Driver,Uttar Pradesh,Senior Citizen
95,F,Rajgir,Continental,Government Job,Bihar,Senior Citizen
89,F,Kasauli,North Indian,Software Engineer,Himachal Pradesh,Senior Citizen
46,M,Agra,Lebanese,CA,Uttar Pradesh,Working
45,M,Patna,Street Food,Teacher,Bihar,Working
65,F,Gulmarg,Thai,Government Job,Jammu,Senior Citizen
75,M,Gurgaon,Street Food,Service,Haryana,Senior Citizen
1,M,Abohar,North Indian,Teacher,Punjab,Young
11,F,Rajgir,North Indian,Government Job,Bihar,Young
16,F,Kanpur,Mughlai,CA,Uttar Pradesh,Young
58,M,Varanasi,Lebanese,MNC,Uttar Pradesh,Working
20,F,Rohtak,Thai,Software Engineer,Haryana,Young
95,M,Rishikesh,North Indian,Software Engineer,Uttarakhand,Senior Citizen
78,F,Hisar,Punjabi,Software Engineer,Haryana,Senior Citizen
76,F,Shimla,Punjabi,Business,Himachal Pradesh,Senior Citizen
2,M,Ludhiana,North Indian,Self Employed,Punjab,Young
62,F,Rohtak,Mughlai,Teacher,Haryana,Senior Citizen
68,F,Pathankot,Italian,Driver,Punjab,Senior Citizen
36,F,Darbhanga,Lebanese,MNC,Bihar,Working
92,M,Rorkee,Mughlai,CA,Uttarakhand,Senior Citizen
15,F,Haridwar,Thai,Government Job,Uttarakhand,Young
42,F,Bikaner,Lebanese,CA,Rajasthan,Working
61,F,Darbhanga,Lebanese,Teacher,Bihar,Senior Citizen
88,F,Hisar,Punjabi,Bank,Haryana,Senior Citizen
62,M,Abohar,Italian,Self Employed,Punjab,Senior Citizen
72,F,Rohtak,Italian,MNC,Haryana,Senior Citizen
76,M,Abohar,Punjabi,Service,Punjab,Senior Citizen
84,M,Ajmer,Italian,Data Scientist,Rajasthan,Senior Citizen
12,F,Chittorgarh,Street Food,MNC,Rajasthan,Young
27,M,Jodhpur,Italian,Teacher,Rajasthan,Working
92,F,Bathinda,Mughlai,Government Job,Punjab,Senior Citizen
59,F,Ludhiana,Lebanese,Teacher,Punjab,Working
91,F,Hisar,Continental,Driver,Haryana,Senior Citizen
11,M,Dharamshala,Lebanese,Self Employed,Himachal Pradesh,Young
6,M,Muzzafarpur,Street Food,Bank,Bihar,Young
23,F,Abohar,Street Food,Driver,Punjab,Working
10,F,Ambala,North Indian,Self Employed,Haryana,Young
4,F,Pathankot,Chinese,Software Engineer,Punjab,Young
44,M,Jodhpur,North Indian,Service,Rajasthan,Working
78,M,Ghaziabad,Lebanese,Teacher,Uttar Pradesh,Senior Citizen
3,M,Amritsar,Mughlai,Government Job,Punjab,Young
95,M,Bodh Gaya,Punjabi,Business,Bihar,Senior Citizen
63,M,Hisar,North Indian,Teacher,Haryana,Senior Citizen
85,F,Manali,Continental,Teacher,Himachal Pradesh,Senior Citizen
56,M,Rorkee,North Indian,Driver,Uttarakhand,Working
53,F,Lucknow,Punjabi,Self Employed,Uttar Pradesh,Working
95,F,Bareily,Street Food,Data Scientist,Uttar Pradesh,Senior Citizen
97,F,Rajauri,Punjabi,Self Employed,Jammu,Senior Citizen
29,M,Muzzafarpur,Continental,Teacher,Bihar,Working
34,F,Dras,Continental,Service,Jammu,Working
70,M,Pittorgarh,Street Food,Self Employed,Uttarakhand,Senior Citizen
87,M,Rohtak,Continental,CA,Haryana,Senior Citizen
42,M,Dharamshala,Street Food,Bank,Himachal Pradesh,Working
98,F,Khannauj,North Indian,Bank,Uttar Pradesh,Senior Citizen
12,M,Rajgir,Street Food,Business,Bihar,Young
42,F,Ludhiana,Punjabi,Teacher,Punjab,Working
72,F,Srinagar,Street Food,Service,Jammu,Senior Citizen
60,F,Leh,Thai,Software Engineer,Jammu,Working
72,F,Rohtak,Mughlai,Government Job,Haryana,Senior Citizen
44,M,Faridabad,Mughlai,Service,Haryana,Working
43,F,Faridabad,Chinese,Software Engineer,Haryana,Working
68,M,Manali,Continental,CA,Himachal Pradesh,Senior Citizen
87,F,Chittorgarh,North Indian,CA,Rajasthan,Senior Citizen
51,M,Jaisalmer,Street Food,Data Scientist,Rajasthan,Working
24,F,Dras,Italian,Business,Jammu,Working
82,F,Pittorgarh,Lebanese,CA,Uttarakhand,Senior Citizen
22,F,Varanasi,Punjabi,Business,Uttar Pradesh,Working
37,F,Alwar,Thai,Government Job,Rajasthan,Working
77,M,Dalhousie,Thai,Data Scientist,Himachal Pradesh,Senior Citizen
23,M,Faridabad,Continental,Teacher,Haryana,Working
98,F,Kasauli,Punjabi,Self Employed,Himachal Pradesh,Senior Citizen
12,M,Muzzafarpur,Continental,Software Engineer,Bihar,Young
46,F,Manali,Thai,Government Job,Himachal Pradesh,Working
96,M,Rishikesh,Thai,Software Engineer,Uttarakhand,Senior Citizen
64,F,Gulmarg,North Indian,Bank,Jammu,Senior Citizen
99,M,Bikaner,Street Food,Software Engineer,Rajasthan,Senior Citizen
73,F,Bodh Gaya,North Indian,Government Job,Bihar,Senior Citizen
1,M,Mussoorie,North Indian,Data Scientist,Uttarakhand,Young
1,M,Udaipur,Italian,Government Job,Rajasthan,Young
6,M,Abohar,Lebanese,Self Employed,Punjab,Young
31,F,Rewari,Lebanese,MNC,Haryana,Working
70,M,Kathua,Italian,Service,Jammu,Senior Citizen
64,M,Darbhanga,Italian,Self Employed,Bihar,Senior Citizen
35,F,Jalandhar,Italian,Driver,Punjab,Working
70,M,Khajjar,Continental,Data Scientist,Himachal Pradesh,Senior Citizen
5,M,Agra,Mughlai,Bank,Uttar Pradesh,Young
25,M,Kullu,Chinese,Self Employed,Himachal Pradesh,Working
22,F,Udaipur,North Indian,Service,Rajasthan,Working
37,F,Leh,Street Food,Teacher,Jammu,Working
99,F,Delhi,Street Food,Software Engineer,Union Territory,Senior Citizen
77,M,Noida,Lebanese,Government Job,Uttar Pradesh,Senior Citizen
5,F,Bareily,Mughlai,MNC,Uttar Pradesh,Young
20,F,Pittorgarh,North Indian,CA,Uttarakhand,Young
50,F,Rorkee,Chinese,Bank,Uttarakhand,Working
14,F,Haridwar,North Indian,CA,Uttarakhand,Young
22,F,Delhi,Punjabi,Self Employed,Union Territory,Working
17,M,Chandigarh,Thai,Data Scientist,Union Territory,Young
1,F,Rewari,Italian,Government Job,Haryana,Young
75,F,Kullu,Lebanese,Self Employed,Himachal Pradesh,Senior Citizen
6,M,Kasauli,Continental,Driver,Himachal Pradesh,Young
43,M,Agra,Street Food,CA,Uttar Pradesh,Working
41,F,Varanasi,Chinese,CA,Uttar Pradesh,Working
31,M,Jammu,Continental,Business,Jammu,Working
10,F,Baramulla,Chinese,Software Engineer,Jammu,Young
74,F,Meerut,Continental,Government Job,Uttar Pradesh,Senior Citizen
69,M,Kathua,Street Food,Data Scientist,Jammu,Senior Citizen
41,F,Bareily,Street Food,CA,Uttar Pradesh,Working
19,M,Patna,Continental,Teacher,Bihar,Young
41,M,Ludhiana,Italian,Driver,Punjab,Working
55,F,Ambala,Mughlai,Driver,Haryana,Working
88,F,Manali,Mughlai,Bank,Himachal Pradesh,Senior Citizen
96,M,Lucknow,Street Food,Service,Uttar Pradesh,Senior Citizen
13,F,Amritsar,North Indian,MNC,Punjab,Young
73,F,Muzzafarpur,Punjabi,CA,Bihar,Senior Citizen
60,M,Varanasi,Punjabi,Service,Uttar Pradesh,Working
65,F,Manali,Street Food,CA,Himachal Pradesh,Senior Citizen
14,M,Jalandhar,Continental,Bank,Punjab,Young
26,M,Varanasi,Thai,Teacher,Uttar Pradesh,Working
13,M,Kathua,Lebanese,Service,Jammu,Young
73,F,Shimla,Chinese,Teacher,Himachal Pradesh,Senior Citizen
17,F,Kasauli,Continental,Bank,Himachal Pradesh,Young
76,M,Khannauj,Street Food,CA,Uttar Pradesh,Senior Citizen
38,M,Agra,North Indian,MNC,Uttar Pradesh,Working
71,F,Patna,Thai,Teacher,Bihar,Senior Citizen
17,F,Bareily,Continental,CA,Uttar Pradesh,Young
94,M,Bareily,North Indian,Service,Uttar Pradesh,Senior Citizen
1,F,Buxar,Continental,MNC,Bihar,Young
94,F,Meerut,Mughlai,Software Engineer,Uttar Pradesh,Senior Citizen
89,F,Shimla,Continental,MNC,Himachal Pradesh,Senior Citizen
34,M,Meerut,North Indian,Self Employed,Uttar Pradesh,Working
26,M,Bodh Gaya,Chinese,Self Employed,Bihar,Working
61,M,Gurgaon,Continental,Self Employed,Haryana,Senior Citizen
12,F,Meerut,Street Food,Software Engineer,Uttar Pradesh,Young
52,M,Kathua,Thai,Driver,Jammu,Working
97,M,Rorkee,Italian,Self Employed,Uttarakhand,Senior Citizen
57,F,Rajgir,Street Food,Bank,Bihar,Working
24,F,Agra,Punjabi,Data Scientist,Uttar Pradesh,Working
52,M,Rorkee,Street Food,Business,Uttarakhand,Working
43,F,Rewari,Thai,MNC,Haryana,Working
93,F,Abohar,North Indian,Government Job,Punjab,Senior Citizen
10,M,Leh,Chinese,Driver,Jammu,Young
43,M,Ludhiana,Thai,Teacher,Punjab,Working
9,M,Jodhpur,Italian,Software Engineer,Rajasthan,Young
61,F,Una,North Indian,Bank,Himachal Pradesh,Senior Citizen
2,F,Jalandhar,Lebanese,Self Employed,Punjab,Young
76,M,Jaisalmer,Street Food,Self Employed,Rajasthan,Senior Citizen
18,M,Gurgaon,Lebanese,Self Employed,Haryana,Young
93,M,Patiala,Italian,Self Employed,Punjab,Senior Citizen
78,F,Rishikesh,Street Food,Teacher,Uttarakhand,Senior Citizen
52,F,Kargil,Street Food,Business,Jammu,Working
35,M,Gulmarg,Continental,Software Engineer,Jammu,Working
99,M,Patiala,Mughlai,Business,Punjab,Senior Citizen
23,M,Faridabad,Lebanese,Service,Haryana,Working
97,F,Lucknow,Italian,MNC,Uttar Pradesh,Senior Citizen
40,M,Dharamshala,Street Food,Government Job,Himachal Pradesh,Working
94,F,Rajgir,Continental,Data Scientist,Bihar,Senior Citizen
33,M,Ajmer,Thai,Self Employed,Rajasthan,Working
85,M,Bodh Gaya,North Indian,Government Job,Bihar,Senior Citizen
10,F,Mussoorie,Continental,Service,Uttarakhand,Young
13,M,Srinagar,Punjabi,Government Job,Jammu,Young
41,M,Agra,North Indian,Self Employed,Uttar Pradesh,Working
45,F,Jaisalmer,Lebanese,MNC,Rajasthan,Working
85,F,Lucknow,Italian,Teacher,Uttar Pradesh,Senior Citizen
7,F,Pathankot,Continental,Business,Punjab,Young
95,F,Kullu,Street Food,Software Engineer,Himachal Pradesh,Senior Citizen
13,F,Dharamshala,Street Food,Driver,Himachal Pradesh,Young
68,F,Baramulla,North Indian,Data Scientist,Jammu,Senior Citizen
41,F,Nainital,Italian,Software Engineer,Uttarakhand,Working
89,F,Rewari,Punjabi,MNC,Haryana,Senior Citizen
27,M,Una,Thai,Business,Himachal Pradesh,Working
57,F,Ambala,North Indian,Software Engineer,Haryana,Working
58,F,Ludhiana,Mughlai,Business,Punjab,Working
65,M,Ambala,Mughlai,Bank,Haryana,Senior Citizen
64,M,Dras,Punjabi,Software Engineer,Jammu,Senior Citizen
49,F,Gulmarg,Punjabi,Self Employed,Jammu,Working
29,F,Khannauj,Street Food,Driver,Uttar Pradesh,Working
50,M,Buxar,Chinese,Service,Bihar,Working
50,F,Leh,Mughlai,Data Scientist,Jammu,Working
47,F,Faridkot,Street Food,Government Job,Punjab,Working
14,M,Nainital,Street Food,Data Scientist,Uttarakhand,Young
31,F,Rohtak,Punjabi,Service,Haryana,Working
4,F,Pathankot,Mughlai,Business,Punjab,Young
38,M,Khajjar,Thai,Driver,Himachal Pradesh,Working
36,M,Baramulla,Continental,CA,Jammu,Working
32,M,Bikaner,Italian,Self Employed,Rajasthan,Working
62,F,Rajgir,Italian,CA,Bihar,Senior Citizen
87,F,Rajgir,Lebanese,Teacher,Bihar,Senior Citizen
21,M,Kathua,Street Food,Data Scientist,Jammu,Working
40,F,Rishikesh,North Indian,Bank,Uttarakhand,Working
82,F,Muzzafarpur,Mughlai,CA,Bihar,Senior Citizen
53,F,Nainital,Chinese,Bank,Uttarakhand,Working
77,F,Srinagar,Italian,Self Employed,Jammu,Senior Citizen
88,M,Una,North Indian,Driver,Himachal Pradesh,Senior Citizen
22,M,Lucknow,Lebanese,Self Employed,Uttar Pradesh,Working
16,M,Abohar,Punjabi,CA,Punjab,Young
24,F,Rajauri,Italian,Self Employed,Jammu,Working
98,F,Rishikesh,Street Food,Software Engineer,Uttarakhand,Senior Citizen
28,M,Haridwar,Continental,Driver,Uttarakhand,Working
62,F,Gulmarg,Street Food,Bank,Jammu,Senior Citizen
74,F,Kathua,Lebanese,Bank,Jammu,Senior Citizen
95,M,Dalhousie,Street Food,CA,Himachal Pradesh,Senior Citizen
25,F,Kullu,Thai,Government Job,Himachal Pradesh,Working
50,M,Gurgaon,North Indian,Teacher,Haryana,Working
88,M,Manali,Street Food,Teacher,Himachal Pradesh,Senior Citizen
84,M,Bodh Gaya,Continental,Data Scientist,Bihar,Senior Citizen
62,F,Ambala,Thai,CA,Haryana,Senior Citizen
73,M,Delhi,Chinese,Teacher,Union Territory,Senior Citizen
96,F,Patna,Street Food,Self Employed,Bihar,Senior Citizen
18,M,Ambala,Mughlai,Teacher,Haryana,Young
43,M,Gurgaon,Chinese,Service,Haryana,Working
27,F,Rohtak,Mughlai,Business,Haryana,Working
97,F,Kanpur,Thai,Service,Uttar Pradesh,Senior Citizen
93,F,Dras,Street Food,Software Engineer,Jammu,Senior Citizen
35,F,Chittorgarh,Chinese,Service,Rajasthan,Working
57,M,Rajauri,Mughlai,Bank,Jammu,Working
28,F,Jalandhar,Lebanese,CA,Punjab,Working
34,F,Bareily,Street Food,Self Employed,Uttar Pradesh,Working
38,M,Ambala,Punjabi,MNC,Haryana,Working
44,M,Ajmer,Thai,Self Employed,Rajasthan,Working
62,F,Jaisalmer,Continental,Government Job,Rajasthan,Senior Citizen
71,M,Bikaner,Punjabi,Driver,Rajasthan,Senior Citizen
43,F,Ludhiana,Continental,MNC,Punjab,Working
67,F,Kathua,Chinese,Business,Jammu,Senior Citizen
44,F,Jodhpur,Chinese,Self Employed,Rajasthan,Working
89,F,Rorkee,Chinese,Self Employed,Uttarakhand,Senior Citizen
85,M,Jodhpur,Continental,Driver,Rajasthan,Senior Citizen
44,F,Jaisalmer,North Indian,Teacher,Rajasthan,Working
14,M,Patna,Lebanese,Driver,Bihar,Young
58,M,Rajgir,Thai,CA,Bihar,Working
82,F,Faridkot,Mughlai,Government Job,Punjab,Senior Citizen
17,F,Faridabad,Chinese,Software Engineer,Haryana,Young
88,F,Ludhiana,Continental,Teacher,Punjab,Senior Citizen
77,M,Rewari,Punjabi,Driver,Haryana,Senior Citizen
7,F,Manali,Continental,Bank,Himachal Pradesh,Young
84,F,Bikaner,Chinese,Driver,Rajasthan,Senior Citizen
9,M,Pittorgarh,Thai,Government Job,Uttarakhand,Young
8,F,Delhi,Chinese,Self Employed,Union Territory,Young
24,F,Leh,North Indian,Data Scientist,Jammu,Working
69,F,Darbhanga,Punjabi,Software Engineer,Bihar,Senior Citizen
89,F,Dras,North Indian,Bank,Jammu,Senior Citizen
28,F,Bodh Gaya,Continental,Driver,Bihar,Working
27,M,Mussoorie,Lebanese,Bank,Uttarakhand,Working
22,M,Lucknow,Thai,Teacher,Uttar Pradesh,Working
34,M,Noida,Continental,Government Job,Uttar Pradesh,Working
98,M,Kathua,Italian,Software Engineer,Jammu,Senior Citizen
8,M,Bathinda,Chinese,Driver,Punjab,Young
90,M,Amritsar,Italian,CA,Punjab,Senior Citizen
6,M,Bhilwara,North Indian,Government Job,Rajasthan,Young
39,M,Haridwar,North Indian,Service,Uttarakhand,Working
36,F,Ghaziabad,Chinese,Government Job,Uttar Pradesh,Working
89,F,Amritsar,Italian,Government Job,Punjab,Senior Citizen
19,M,Dharamshala,Punjabi,Service,Himachal Pradesh,Young
59,M,Kargil,Mughlai,Government Job,Jammu,Working
35,M,Bathinda,Lebanese,Driver,Punjab,Working
10,M,Udaipur,Italian,Bank,Rajasthan,Young
83,M,Amritsar,Lebanese,Software Engineer,Punjab,Senior Citizen
90,M,Baramulla,Chinese,Self Employed,Jammu,Senior Citizen
99,F,Kargil,North Indian,Self Employed,Jammu,Senior Citizen
46,F,Dalhousie,Punjabi,Service,Himachal Pradesh,Working
14,M,Kullu,Continental,Service,Himachal Pradesh,Young
66,M,Bathinda,Street Food,Driver,Punjab,Senior Citizen
16,M,Jaisalmer,Italian,Data Scientist,Rajasthan,Young
30,M,Srinagar,Thai,Teacher,Jammu,Working
54,F,Manali,Mughlai,Bank,Himachal Pradesh,Working
93,M,Kullu,Street Food,MNC,Himachal Pradesh,Senior Citizen
28,M,Haridwar,North Indian,Data Scientist,Uttarakhand,Working
35,M,Bathinda,Thai,Driver,Punjab,Working
74,M,Hisar,Chinese,Bank,Haryana,Senior Citizen
80,F,Bathinda,Mughlai,Self Employed,Punjab,Senior Citizen
53,M,Bhilwara,North Indian,Driver,Rajasthan,Working
99,M,Rohtak,North Indian,Data Scientist,Haryana,Senior Citizen
15,F,Haridwar,North Indian,CA,Uttarakhand,Young
1,F,Nainital,Punjabi,Government Job,Uttarakhand,Young
44,M,Jodhpur,Italian,Teacher,Rajasthan,Working
7,M,Shimla,Mughlai,Driver,Himachal Pradesh,Young
94,F,Rohtak,North Indian,MNC,Haryana,Senior Citizen
40,M,Pathankot,Lebanese,Government Job,Punjab,Working
34,F,Ghaziabad,North Indian,Service,Uttar Pradesh,Working
22,M,Nainital,Chinese,Software Engineer,Uttarakhand,Working
86,M,Amritsar,Mughlai,Service,Punjab,Senior Citizen
51,M,Delhi,Italian,Bank,Union Territory,Working
65,F,Kasauli,Lebanese,Teacher,Himachal Pradesh,Senior Citizen
39,F,Abohar,Lebanese,MNC,Punjab,Working
93,F,Nainital,Street Food,Service,Uttarakhand,Senior Citizen
81,F,Abohar,Continental,Bank,Punjab,Senior Citizen
55,M,Rajgir,Mughlai,Teacher,Bihar,Working
24,F,Haridwar,Chinese,CA,Uttarakhand,Working
30,M,Dalhousie,Street Food,Bank,Himachal Pradesh,Working
